City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hilo,US,80.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Rikitea,PF,79.34,few clouds,-23.1203,-134.9692,Pension Maro'i
27,Faanui,PF,81.21,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Kulhudhuffushi,MV,81.68,clear sky,6.6221,73.07,Haajy Guest House 1
44,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
55,Amahai,ID,82.83,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
57,Sarangani,PH,81.34,overcast clouds,5.4033,125.4636,Ballistic Islet
59,Funadhoo,MV,81.79,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
62,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
64,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
73,Atuona,PF,79.25,few clouds,-9.8,-139.0333,Villa Enata
78,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
79,Cap Estate,LC,80.6,broken clouds,14.0833,-60.95,Coco Palm Resort
81,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
84,San Andres,CO,80.6,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
90,Kavaratti,IN,80.85,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
93,Banjar,ID,80.6,scattered clouds,-8.19,114.9675,The Hamsa Resort
94,Daru,PG,77.0,overcast clouds,-9.0763,143.2092,Daru Lodge
97,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
100,Kavieng,PG,83.3,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
110,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
112,Carnarvon,AU,84.2,few clouds,-24.8667,113.6333,Hospitality Carnarvon
114,Sola,VU,87.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
115,Isla Mujeres,MX,78.01,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
